"_id","userAge","userEducation","userComputerLevel","userComputerExperienceYears","userProf","userProgExperience","userGamingExperience","__v","question1Answer","question1Complexity","question1Time","question2Answer","question2Complexity","question2Time","question3Answer","question3Complexity","question3Time","question4Answer","question4Complexity","question4Time","question5Answer","question5Complexity","question5Time","withTree","userProgComment","created_at","updatedAt"
"609a9751b497610015a9016f","1996","Магистрант","3",,"Дизайн человеко-компьютерных систем","Нет",,0,,,,,,,,,,,,,,,,,,"2021-05-11T14:40:17.082Z","2021-05-11T14:40:17.082Z"
"609a9905b497610015a90170","1976","Среднее-специальное","4",,"юрист","Изучал самостоятельно",,0,,,,,,,,,,,,,,,,,,"2021-05-11T14:47:33.919Z","2021-05-11T14:47:33.919Z"
"609a9a4bb497610015a90172","2002","Студент","4",,"Программирование","Изучал систематически",,0,,,,,,,,,,,,,,,,,,"2021-05-11T14:52:59.685Z","2021-05-11T14:52:59.685Z"
"609a9ab2b497610015a90173","2002","Среднее","2",,"Нет","Нет",,0,,,,,,,,,,,,,,,,,,"2021-05-11T14:54:42.531Z","2021-05-11T14:54:42.531Z"
"609a9ed5b497610015a90174","2003","Среднее","4",,"-","Изучал самостоятельно",,0,,,,,,,,,,,,,,,,,,"2021-05-11T15:12:21.141Z","2021-05-11T15:12:21.141Z"
"609aa65fb497610015a90175","2002","Бакалавр","3",,"Оптотехника","Изучал самостоятельно",,0,"Радиомодуль",4,65925,"26.02.2020",4,138040,"4",5,169592,"Февраль",6,245443,"8",5,280271,true,,"2021-05-11T15:44:31.250Z","2021-05-11T15:49:46.273Z"
"609aa819b497610015a90177","6","Среднее","2",,"щг"," Когда-то изучал самостоятельно",,0,,,,,,,,,,,,,,,,,"гщщщ","2021-05-11T15:51:53.141Z","2021-05-11T15:51:53.141Z"
"609af60c508f9c001595ef35","1997","Магистрант","4",,"Юзабилити-специалист","Изучал самостоятельно",,0,"Радиомодуль",6,151519,"25.02.2020",5,200976,"3",3,222981,"февраль",4,282426,"8",5,301679,true,,"2021-05-11T21:24:28.530Z","2021-05-11T21:30:02.742Z"
"609b890b153cc40015281bdf","2002","Бакалавр","4",,"ЭлТех","Изучал самостоятельно",,0,,,,,,,,,,,,,,,,false,,"2021-05-12T07:51:39.307Z","2021-05-12T07:51:39.716Z"
"609b994e153cc40015281be0","1988","Магистр","4",,"Биология","Изучал самостоятельно",,0,"Радиомудуль",4,126856," 26.02.2020 ",3,179138,"4",2,215349,"Феврале",4,314727,"7",3,336798,true,,"2021-05-12T09:01:02.390Z","2021-05-12T09:07:07.531Z"
"609bae00d7aa420015376b95","1987","Специалист","4",,"специалист по закупкам","Нет",,0,"нинаю",8,166622,"а шут его знает",8,186745,"если б я знал у меня наверное голова разболелас",8,198911,"в календарном",7,248305,"много",7,258921,false,,"2021-05-12T10:29:20.805Z","2021-05-12T10:49:26.314Z"
"609bb7a0d7aa420015376b98","1993","Бакалавр","4",,"волшебство"," Когда-то изучал самостоятельно",,0,"радиомодуль",2,103361,"26 февраля",1,152902,"4",1,170649,"февраль",1,208702,"8",1,230036,true,,"2021-05-12T11:10:24.423Z","2021-05-12T11:15:17.749Z"
"609bb8ddd7aa420015376b99","1998","Бакалавр","3",,"Бизнес-информатика"," Когда-то изучал самостоятельно",,0,"Не понял",8,513131,"1/9/2020",2,226783,"4",1,131551,"Февраль",1,331882,"8",3,415501,false,,"2021-05-12T11:15:41.958Z","2021-05-12T11:25:06.232Z"
"609bb94ed7aa420015376b9b","1997","Среднее-специальное","4",,"Системный администратор","Изучал самостоятельно",,0,,,,,,,,,,,,,,,,true,,"2021-05-12T11:17:34.663Z","2021-05-12T11:17:35.024Z"
"609c0ce9cc4edd0015bd0277","2002","Студент","4",,"Электротехника","Изучал самостоятельно",,0,"Assembler",6,117774,"01.02",5,475021,"38",4,391978,"Февраль",2,349359,"9",4,529022,false,,"2021-05-12T17:14:17.351Z","2021-05-12T17:23:36.567Z"
"609c60a50e1b3c00159d6b85","1111","1111","1",,"1111","Нет",,0,,,,,,,,,,,,,,,,true,"11 111 1111","2021-05-12T23:11:33.389Z","2021-05-12T23:11:33.753Z"
